,Log_Key,Level,Feature,Structure,Information,Wording
944,org.apache.kafka.common.network.Selector.close860,debug,"['<level>', 'debug', '</level>', '<message>', 'Tracking', 'closing', 'connection', '{}', 'to', 'process', 'outstanding', 'requests', '</message>']",1,1,1
946,org.apache.kafka.common.security.authenticator.SaslServerAuthenticator.setSaslState381,debug,"['<level>', 'debug', '</level>', '<message>', 'Set', 'SASL', 'server', 'state', 'to', '{}', 'during', '{}', '</message>']",1,1,1
2567,org.apache.kafka.common.security.oauthbearer.internals.OAuthBearerSaslServer.evaluateResponse97,debug,"['<level>', 'debug', '</level>', '<message>', ' ', '</message>']",0,0,0
2568,org.apache.kafka.common.security.oauthbearer.internals.OAuthBearerSaslServer.process164,debug,"['<level>', 'debug', '</level>', '<message>', ' ', '</message>']",0,0,0
490,org.apache.kafka.common.security.oauthbearer.OAuthBearerLoginModule.login308,debug,"['<level>', 'debug', '</level>', '<message>', 'Login', 'succeeded;', 'invoke', 'commit()', 'to', 'commit', 'it;', 'current', 'committed', 'token', 'count={}', '</message>']",1,1,1
947,org.apache.kafka.common.security.ssl.SslEngineBuilder.createSSLContext157,debug,"['<level>', 'debug', '</level>', '<message>', 'Created', 'SSL', 'context', 'with', 'keystore', '{},', 'truststore', '{}', '</message>']",1,1,1
2078,org.apache.kafka.connect.integration.MonitorableSinkConnector.start109,debug,"['<level>', 'debug', '</level>', '<message>', 'Starting', 'task', '{}', '</message>']",1,1,1
948,org.apache.kafka.connect.runtime.ConnectMetrics.ConnectMetrics83,debug,"['<level>', 'debug', '</level>', '<message>', 'Registering', 'Connect', 'metrics', 'with', 'JMX', 'for', 'worker', ""'{}'"", '</message>']",1,1,1
949,org.apache.kafka.connect.runtime.ConnectMetrics.stop155,debug,"['<level>', 'debug', '</level>', '<message>', 'Unregistering', 'Connect', 'metrics', 'with', 'JMX', 'for', 'worker', ""'{}'"", '</message>']",1,1,1
1377,org.apache.kafka.connect.runtime.distributed.DistributedHerder.updateDeletedConnectorStatus1373,debug,"['<level>', 'debug', '</level>', '<message>', 'Cleaning', 'status', 'information', 'for', 'connector', '{}', '</message>']",1,1,1
653,org.apache.kafka.connect.runtime.distributed.IncrementalCooperativeAssignor.handleLostAssignments350,debug,"['<level>', 'debug', '</level>', '<message>', 'Found', 'the', 'following', 'connectors', 'and', 'tasks', 'missing', 'from', 'previous', 'assignments:', '</message>']",1,1,1
1378,org.apache.kafka.connect.runtime.distributed.IncrementalCooperativeAssignor.performTaskAssignment190,debug,"['<level>', 'debug', '</level>', '<message>', 'Remaining', '(excluding', 'deleted)', 'active', 'assignments:', '{}', '</message>']",1,1,1
1379,org.apache.kafka.connect.runtime.distributed.IncrementalCooperativeAssignor.performTaskAssignment204,debug,"['<level>', 'debug', '</level>', '<message>', 'Complete', '(ignoring', 'deletions)', 'worker', 'assignments:', '{}', '</message>']",1,1,1
1380,org.apache.kafka.connect.runtime.distributed.IncrementalCooperativeAssignor.performTaskAssignment209,debug,"['<level>', 'debug', '</level>', '<message>', 'Complete', '(ignoring', 'deletions)', 'connector', 'assignments:', '{}', '</message>']",1,1,1
1381,org.apache.kafka.connect.runtime.distributed.IncrementalCooperativeAssignor.performTaskAssignment214,debug,"['<level>', 'debug', '</level>', '<message>', 'Complete', '(ignoring', 'deletions)', 'task', 'assignments:', '{}', '</message>']",1,1,1
1382,org.apache.kafka.connect.runtime.distributed.WorkerCoordinator.onJoinComplete184,debug,"['<level>', 'debug', '</level>', '<message>', 'After', 'revocations', 'snapshot', 'of', 'assignment:', '{}', '</message>']",1,1,1
1383,org.apache.kafka.connect.runtime.distributed.WorkerGroupMember.stop218,debug,"['<level>', 'debug', '</level>', '<message>', 'The', 'Connect', 'group', 'member', 'has', 'stopped.', '</message>']",1,1,1
1138,org.apache.kafka.connect.runtime.isolation.Plugins.newHeaderConverter323,debug,"['<level>', 'debug', '</level>', '<message>', 'Configuring', 'the', 'header', 'converter', 'with', 'configuration', 'keys:{}{}', '</message>']",0,1,1
1781,org.apache.kafka.connect.runtime.rest.resources.ConnectorsResource.completeOrForwardRequest308,debug,"['<level>', 'debug', '</level>', '<message>', 'Forwarding', 'request', '{}', '{}', '{}', '</message>']",0,1,1
1389,org.apache.kafka.connect.runtime.Worker.awaitStopTask718,debug,"['<level>', 'debug', '</level>', '<message>', 'Graceful', 'stop', 'of', 'task', '{}', 'succeeded.', '</message>']",1,1,1
655,org.apache.kafka.connect.runtime.WorkerSinkTaskContext.pause115,debug,"['<level>', 'debug', '</level>', '<message>', '{}', 'Connector', 'is', 'paused,', 'so', 'not', 'pausing', ""consumer's"", 'partitions', '{}', '</message>']",1,1,1
656,org.apache.kafka.connect.runtime.WorkerSinkTaskContext.resume133,debug,"['<level>', 'debug', '</level>', '<message>', '{}', 'Connector', 'is', 'paused,', 'so', 'not', 'resuming', ""consumer's"", 'partitions', '{}', '</message>']",1,1,1
1394,org.apache.kafka.connect.runtime.WorkerSinkTaskContext.timeout87,debug,"['<level>', 'debug', '</level>', '<message>', '{}', 'Setting', 'timeout', 'to', '{}', 'ms', '</message>']",1,1,1
104,org.apache.kafka.connect.storage.KafkaConfigBackingStore.onCompletion618,debug,"['<level>', 'debug', '</level>', '<message>', 'We', 'have', 'an', 'incomplete', 'set', 'of', 'task', 'configs', 'for', 'connector', ""'{}'"", 'probably', 'due', 'to', 'compaction.', 'So', 'we', 'are', 'not', 'doing', 'anything', 'with', 'the', 'new', 'configuration.', '</message>']",1,1,1
1401,org.apache.kafka.connect.storage.KafkaConfigBackingStore.putConnectorConfig299,debug,"['<level>', 'debug', '</level>', '<message>', 'Writing', 'connector', 'configuration', 'for', 'connector', ""'{}'"", '</message>']",1,1,1
950,org.apache.kafka.connect.storage.KafkaConfigBackingStore.putTaskConfigs383,debug,"['<level>', 'debug', '</level>', '<message>', 'Writing', 'commit', 'for', 'connector', ""'{}'"", 'with', '{}', 'tasks.', '</message>']",1,1,1
1402,org.apache.kafka.connect.storage.KafkaConfigBackingStore.removeConnectorConfig312,debug,"['<level>', 'debug', '</level>', '<message>', 'Removing', 'connector', 'configuration', 'for', 'connector', ""'{}'"", '</message>']",1,1,1
75,org.apache.kafka.connect.util.TopicAdmin.createTopics239,debug,"['<level>', 'debug', '</level>', '<message>', 'Unable', 'to', 'create', 'topic(s)', ""'{}'"", 'since', 'the', 'brokers', 'at', '{}', 'do', 'not', 'support', 'the', 'CreateTopics', 'API.', 'Falling', 'back', 'to', 'assume', 'topic(s)', 'exist', 'or', 'will', 'be', 'auto-created', 'by', 'the', 'broker.', '</message>']",1,1,1
2072,org.apache.kafka.log4jappender.KafkaLog4jAppender.append308,debug,"['<level>', 'debug', '</level>', '<message>', '[', '|', ']', '</message>']",0,0,0
1409,org.apache.kafka.streams.integration.utils.EmbeddedKafkaCluster.start88,debug,"['<level>', 'debug', '</level>', '<message>', 'ZooKeeper', 'instance', 'is', 'running', 'at', '{}', '</message>']",1,1,1
1420,org.apache.kafka.streams.KafkaStreams.waitOnState227,debug,"['<level>', 'debug', '</level>', '<message>', 'Cannot', 'transit', 'to', '{}', 'within', '{}ms', '</message>']",0,1,1
1139,org.apache.kafka.streams.processor.internals.AssignedTasks.closeNonAssignedSuspendedTasks321,debug,"['<level>', 'debug', '</level>', '<message>', 'Closing', 'suspended', 'and', 'not', 're-assigned', '{}', '{}', '</message>']",0,1,1
1782,org.apache.kafka.streams.processor.internals.AssignedTasks.initializeNewTasks73,debug,"['<level>', 'debug', '</level>', '<message>', 'Transitioning', '{}', '{}', 'to', 'restoring', '</message>']",0,1,1
1783,org.apache.kafka.streams.processor.internals.AssignedTasks.transitionToRunning200,debug,"['<level>', 'debug', '</level>', '<message>', 'Transitioning', '{}', '{}', 'to', 'running', '</message>']",0,1,1
1777,org.apache.kafka.streams.processor.internals.GlobalStateManagerImpl.close338,debug,"['<level>', 'debug', '</level>', '<message>', 'Closing', 'global', 'storage', 'engine', '{}', '</message>']",1,1,1
660,org.apache.kafka.streams.processor.internals.ProcessorStateManager.close277,debug,"['<level>', 'debug', '</level>', '<message>', 'Closing', 'its', 'state', 'manager', 'and', 'all', 'the', 'registered', 'state', 'stores', '</message>']",1,1,1
2263,org.apache.kafka.streams.processor.internals.RecordCollectorImpl.close272,debug,"['<level>', 'debug', '</level>', '<message>', 'Closing', 'producer', '</message>']",1,1,1
2264,org.apache.kafka.streams.processor.internals.RecordCollectorImpl.flush265,debug,"['<level>', 'debug', '</level>', '<message>', 'Flushing', 'producer', '</message>']",1,1,1
2589,org.apache.kafka.streams.processor.internals.StandbyTask.close142,debug,"['<level>', 'debug', '</level>', '<message>', 'Closing', '</message>']",1,0,1
2591,org.apache.kafka.streams.processor.internals.StandbyTask.resume90,debug,"['<level>', 'debug', '</level>', '<message>', 'Resuming', '</message>']",1,0,1
2592,org.apache.kafka.streams.processor.internals.StandbyTask.suspend119,debug,"['<level>', 'debug', '</level>', '<message>', 'Suspending', '</message>']",1,0,1
1019,org.apache.kafka.streams.processor.internals.StreamsPartitionAssignor.assign593,debug,"['<level>', 'debug', '</level>', '<message>', 'No', 'tasks', 'found', 'for', 'topic', 'group', '{}', '</message>']",1,1,1
2593,org.apache.kafka.streams.processor.internals.StreamTask.close704,debug,"['<level>', 'debug', '</level>', '<message>', 'Closing', '</message>']",1,0,1
2594,org.apache.kafka.streams.processor.internals.StreamTask.commit453,debug,"['<level>', 'debug', '</level>', '<message>', 'Committing', '</message>']",1,0,1
2595,org.apache.kafka.streams.processor.internals.StreamTask.resume280,debug,"['<level>', 'debug', '</level>', '<message>', 'Resuming', '</message>']",1,0,1
2596,org.apache.kafka.streams.processor.internals.StreamTask.suspend550,debug,"['<level>', 'debug', '</level>', '<message>', 'Suspending', '</message>']",1,0,1
497,org.apache.kafka.streams.processor.internals.StreamThread.maybeCommit1042,debug,"['<level>', 'debug', '</level>', '<message>', 'Committed', 'all', 'active', 'tasks', '{}', 'and', 'standby', 'tasks', '{}', 'in', '{}ms', '</message>']",0,1,1
1422,org.apache.kafka.streams.processor.internals.StreamThread.maybeUpdateStandbyTasks1091,debug,"['<level>', 'debug', '</level>', '<message>', 'Updated', 'standby', 'tasks', '{}', 'in', '{}ms', '</message>']",0,1,1
1255,org.apache.kafka.streams.processor.internals.TaskManager.addStreamTasks120,debug,"['<level>', 'debug', '</level>', '<message>', 'Adding', 'assigned', 'tasks', 'as', 'active:', '{}', '</message>']",1,1,1
2071,org.apache.kafka.trogdor.common.CapturingCommandRunner.run53,debug,"['<level>', 'debug', '</level>', '<message>', 'RAN', '{}:', '{}', '</message>']",1,0,0
2266,org.apache.kafka.trogdor.workload.ProduceBenchWorker.takeTransactionAction272,debug,"['<level>', 'debug', '</level>', '<message>', 'Beginning', 'transaction.', '</message>']",1,1,1
2267,org.apache.kafka.trogdor.workload.ProduceBenchWorker.takeTransactionAction276,debug,"['<level>', 'debug', '</level>', '<message>', 'Committing', 'transaction.', '</message>']",1,1,1
2268,org.apache.kafka.trogdor.workload.ProduceBenchWorker.takeTransactionAction281,debug,"['<level>', 'debug', '</level>', '<message>', 'Aborting', 'transaction.', '</message>']",1,1,1
2095,org.apache.kafka.trogdor.workload.RoundTripWorker.run232,debug,"['<level>', 'debug', '</level>', '<message>', '{}:', 'Starting', 'RoundTripWorker#ProducerRunnable.', '</message>']",1,1,1
2096,org.apache.kafka.trogdor.workload.RoundTripWorker.run348,debug,"['<level>', 'debug', '</level>', '<message>', '{}:', 'Starting', 'RoundTripWorker#ConsumerRunnable.', '</message>']",1,1,1
952,org.apache.karaf.bundle.command.ShowBundleTree.createNode236,debug,"['<level>', 'debug', '</level>', '<message>', 'Skipping', '%s', '(already', 'exists', 'in', 'the', 'current', 'branch)', '</message>']",1,1,1
1424,org.apache.karaf.bundle.command.ShowBundleTree.doExecute71,debug,"['<level>', 'debug', '</level>', '<message>', 'Dependency', 'tree', 'calculated', 'in', '%d', 'ms', '</message>']",1,1,1
498,org.apache.karaf.bundle.core.internal.BundleServiceImpl.disableDynamicImports264,debug,"['<level>', 'debug', '</level>', '<message>', 'No', 'additional', 'packages', 'have', 'been', 'wired', 'since', 'dynamic', 'import', 'was', 'enabled', '</message>']",1,1,1
953,org.apache.karaf.bundle.core.internal.BundleServiceImpl.disableDynamicImports266,debug,"['<level>', 'debug', '</level>', '<message>', 'Additional', 'packages', 'wired', 'since', 'dynamic', 'import', 'was', 'enabled', '</message>']",1,1,1
2350,org.apache.karaf.bundle.core.internal.BundleServiceImpl.disableDynamicImports268,debug,"['<level>', 'debug', '</level>', '<message>', '-', '</message>']",0,0,0
673,org.apache.karaf.bundle.state.blueprint.internal.BlueprintStateService.blueprintEvent103,debug,"['<level>', 'debug', '</level>', '<message>', 'Blueprint', 'app', 'state', 'changed', 'to', '|', 'for', 'bundle', '</message>']",1,1,1
674,org.apache.karaf.bundle.state.spring.internal.SpringStateService.onOsgiApplicationEvent116,debug,"['<level>', 'debug', '</level>', '<message>', 'Spring', 'app', 'state', 'changed', 'to', '|', 'for', 'bundle', '</message>']",1,1,1
301,org.apache.karaf.deployer.kar.KarArtifactInstaller.canHandle81,debug,"['<level>', 'debug', '</level>', '<message>', 'Found', 'a', '.zip', 'file', 'to', 'deploy;', 'checking', 'contents', 'to', 'see', 'if', ""it's"", 'a', 'Karaf', 'archive.', '</message>']",1,1,1
2601,org.apache.karaf.docker.DockerClient.pull250,debug,"['<level>', 'debug', '</level>', '<message>', ' ', '</message>']",0,0,0
1284,org.apache.karaf.examples.jdbc.provider.BookingServiceJdbcImpl.add209,debug,"['<level>', 'debug', '</level>', '<message>', 'Booking', 'created', 'with', 'id', '=', '{}', '</message>']",1,1,1
2193,org.apache.karaf.examples.jdbc.provider.BookingServiceJdbcImpl.open84,debug,"['<level>', 'debug', '</level>', '<message>', 'Datasource', '{}', '</message>']",1,1,1
1288,org.apache.karaf.examples.jdbc.provider.BookingServiceJdbcImpl.remove235,debug,"['<level>', 'debug', '</level>', '<message>', 'Service', 'deleted', 'with', 'id', '=', '{}', '</message>']",1,1,1
251,org.apache.karaf.features.internal.download.impl.AbstractRetryableDownloadTask.run73,debug,"['<level>', 'debug', '</level>', '<message>', 'Error', 'downloading', '|', ':', '|', '.', '|', 'in', 'approx', '|', 'ms.', '</message>']",1,1,1
1143,org.apache.karaf.features.internal.service.Blacklist.Blacklist81,debug,"['<level>', 'debug', '</level>', '<message>', 'Unable', 'to', 'load', 'blacklist', 'bundles', 'list', '{}', '</message>']",1,1,1
1426,org.apache.karaf.features.internal.service.Blacklist.Blacklist83,debug,"['<level>', 'debug', '</level>', '<message>', 'Unable', 'to', 'load', 'blacklist', 'bundles', 'list', '</message>']",1,1,1
1429,org.apache.karaf.features.internal.service.BootFeaturesInstaller.separatorsToUnix191,debug,"['<level>', 'debug', '</level>', '<message>', 'Converted', 'path', 'to', 'unix', 'separators:', '{}', '</message>']",1,1,1
1430,org.apache.karaf.features.internal.service.Deployer.computeDeployment1453,debug,"['<level>', 'debug', '</level>', '<message>', 'Error', 'calculating', 'checksum', 'for', 'bundle:', '{}', '</message>']",1,1,1
821,org.apache.karaf.features.internal.service.Deployer.getBundlesToStop1594,debug,"['<level>', 'debug', '</level>', '<message>', 'Selected', 'bundles', '{}', 'for', 'destroy', '(no', 'services', 'in', 'use)', '</message>']",1,1,1
822,org.apache.karaf.features.internal.service.Deployer.getBundlesToStop1604,debug,"['<level>', 'debug', '</level>', '<message>', 'Currently', 'selecting', 'bundle', '{}', 'for', 'destroy', '(with', 'reference', '{})', '</message>']",1,1,1
954,org.apache.karaf.features.internal.service.Deployer.getBundlesToStop1612,debug,"['<level>', 'debug', '</level>', '<message>', 'Selected', 'bundle', '{}', 'for', 'destroy', '(lowest', 'ranking', 'service)', '</message>']",1,1,1
856,org.apache.karaf.features.internal.service.FeatureConfigInstaller.installConfigurationFile261,debug,"['<level>', 'debug', '</level>', '<message>', 'Configuration', 'file', '{}', 'already', 'exist,', ""don't"", 'override', 'it', '</message>']",1,1,1
823,org.apache.karaf.features.internal.service.FeaturesProcessorImpl.FeaturesProcessorImpl85,debug,"['<level>', 'debug', '</level>', '<message>', ""Can't"", 'find', 'feature', 'processing', 'file', '(', '|', '),', 'skipping', '</message>']",1,1,1
1149,org.apache.karaf.features.internal.service.Overrides.loadOverrides163,debug,"['<level>', 'debug', '</level>', '<message>', 'Unable', 'to', 'load', 'overrides', 'bundles', 'list', '{}', '</message>']",1,1,1
1432,org.apache.karaf.features.internal.service.Overrides.loadOverrides165,debug,"['<level>', 'debug', '</level>', '<message>', 'Unable', 'to', 'load', 'overrides', 'bundles', 'list', '</message>']",1,1,1
1792,org.apache.karaf.http.core.internal.ProxyServiceImpl.addProxyInternal120,debug,"['<level>', 'debug', '</level>', '<message>', 'Adding', '{}', 'proxy', 'to', '{}', '</message>']",1,1,1
1793,org.apache.karaf.instance.core.internal.InstanceServiceImpl.cleanShutdown867,debug,"['<level>', 'debug', '</level>', '<message>', 'Unable', 'to', 'cleanly', 'shutdown', 'instance', '</message>']",1,1,1
1150,org.apache.karaf.instance.core.internal.InstanceServiceImpl.doStart560,debug,"['<level>', 'debug', '</level>', '<message>', 'Starting', 'instance', '|', 'with', 'command:', '</message>']",1,1,1
2362,org.apache.karaf.jaas.modules.AbstractKarafLoginModule.abort82,debug,"['<level>', 'debug', '</level>', '<message>', 'abort', '</message>']",1,0,0
2363,org.apache.karaf.jaas.modules.AbstractKarafLoginModule.logout100,debug,"['<level>', 'debug', '</level>', '<message>', 'logout', '</message>']",1,0,0
1786,org.apache.karaf.jaas.modules.audit.LogAuditLoginModule.audit50,debug,"['<level>', 'debug', '</level>', '<message>', '{}', '-', '{}', '-', '{}', '</message>']",0,0,0
681,org.apache.karaf.jaas.modules.encryption.EncryptionSupport.logOptions94,debug,"['<level>', 'debug', '</level>', '<message>', 'Encryption', 'is', 'enabled.', 'Using', 'service', '|', 'with', 'options', '</message>']",1,1,1
1795,org.apache.karaf.jaas.modules.encryption.EncryptionSupport.logOptions96,debug,"['<level>', 'debug', '</level>', '<message>', 'Encryption', 'is', 'enabled.', 'Using', 'options', '</message>']",1,1,1
390,org.apache.karaf.jaas.modules.jdbc.JDBCLoginModule.login127,debug,"['<level>', 'debug', '</level>', '<message>', 'No', 'roleQuery', 'specified', 'so', 'no', 'roles', 'have', 'been', 'retrieved', 'for', 'the', 'authenticated', 'user', '</message>']",1,1,1
1155,org.apache.karaf.jaas.modules.ldap.LDAPBackingEngine.listUsers116,debug,"['<level>', 'debug', '</level>', '<message>', 'Looking', 'for', 'the', 'users', 'in', 'LDAP', 'with', '</message>']",1,1,1
2598,org.apache.karaf.jaas.modules.ldap.LDAPBackingEngine.listUsers118,debug,"['<level>', 'debug', '</level>', '<message>', 'filter:', '</message>']",1,0,0
1156,org.apache.karaf.jaas.modules.ldap.LDAPBackingEngine.lookupUser82,debug,"['<level>', 'debug', '</level>', '<message>', 'Looking', 'for', 'user', '{}', 'in', 'LDAP', 'with', '</message>']",1,1,1
2286,org.apache.karaf.jaas.modules.ldap.LDAPBackingEngine.lookupUser84,debug,"['<level>', 'debug', '</level>', '<message>', 'filter:', '{}', '</message>']",1,0,1
1050,org.apache.karaf.jaas.modules.ldap.LDAPCache.doGetUserDnAndNamespace167,debug,"['<level>', 'debug', '</level>', '<message>', 'Looking', 'for', 'the', 'user', 'in', 'LDAP', 'with', '</message>']",1,1,1
2390,org.apache.karaf.jaas.modules.ldap.LDAPCache.doGetUserDnAndNamespace169,debug,"['<level>', 'debug', '</level>', '<message>', 'filter:', '</message>']",1,0,0
560,org.apache.karaf.jaas.modules.ldap.LDAPCache.doGetUserPubkeys323,debug,"['<level>', 'debug', '</level>', '<message>', 'Looking', 'for', 'public', 'keys', 'of', 'user', '{}', 'in', 'attribute', '{}', '</message>']",1,1,1
412,org.apache.karaf.jaas.modules.ldap.LDAPCache.doGetUserPubkeys339,debug,"['<level>', 'debug', '</level>', '<message>', 'The', 'user', 'public', 'key', 'attribute', 'is', 'null', 'so', 'no', 'keys', 'were', 'retrieved', '</message>']",1,1,1
887,org.apache.karaf.jaas.modules.ldap.LDAPCache.doGetUserRoles264,debug,"['<level>', 'debug', '</level>', '<message>', 'Looking', 'for', 'the', 'user', 'roles', 'in', 'LDAP', 'with', '</message>']",1,1,1
2102,org.apache.karaf.jaas.modules.ldap.LDAPCache.doGetUserRoles265,debug,"['<level>', 'debug', '</level>', '<message>', 'base', 'DN:', '{}', '</message>']",1,1,0
888,org.apache.karaf.jaas.modules.ldap.LDAPCache.doGetUserRoles279,debug,"['<level>', 'debug', '</level>', '<message>', 'User', '{}', 'is', 'a', 'member', 'of', 'role', '{}', '</message>']",1,1,1
457,org.apache.karaf.jaas.modules.ldap.LDAPCache.doGetUserRoles313,debug,"['<level>', 'debug', '</level>', '<message>', 'The', 'user', 'role', 'filter', 'is', 'null', 'so', 'no', 'roles', 'are', 'retrieved', '</message>']",1,1,1
824,org.apache.karaf.jaas.modules.ldap.LDAPCache.tryMappingRole239,debug,"['<level>', 'debug', '</level>', '<message>', 'LDAP', 'role', '{}', 'is', 'mapped', 'to', 'Karaf', 'role', '{}', '</message>']",1,1,1
391,org.apache.karaf.jaas.modules.ldap.LDAPLoginModule.doLogin91,debug,"['<level>', 'debug', '</level>', '<message>', 'Changing', 'from', 'authentication', '=', 'none', 'to', 'simple', 'since', 'user', 'or', 'password', 'was', 'specified.', '</message>']",1,1,1
957,org.apache.karaf.jaas.modules.properties.AutoEncryptionSupport.encryptedPassword140,debug,"['<level>', 'debug', '</level>', '<message>', 'The', 'password', ""isn't"", 'flagged', 'as', 'encrypted,', 'encrypt', 'it.', '</message>']",1,1,1
1947,org.apache.karaf.jaas.modules.properties.PropertiesLoginModule.login157,debug,"['<level>', 'debug', '</level>', '<message>', 'Successfully', 'logged', 'in', '{}', '</message>']",1,1,1
2109,org.apache.karaf.jaas.modules.publickey.PublickeyLoginModule.login176,debug,"['<level>', 'debug', '</level>', '<message>', 'Successfully', 'logged', 'in', '</message>']",1,1,1
1436,org.apache.karaf.jaas.modules.syncope.SyncopeLoginModule.login103,debug,"['<level>', 'debug', '</level>', '<message>', 'Syncope', 'HTTP', 'response', 'status', 'code:', '{}', '</message>']",1,1,1
2110,org.apache.karaf.jaas.modules.syncope.SyncopeLoginModule.login108,debug,"['<level>', 'debug', '</level>', '<message>', 'User', '{}', 'authenticated', '</message>']",1,1,1
1159,org.apache.karaf.jaas.modules.syncope.SyncopeLoginModule.login88,debug,"['<level>', 'debug', '</level>', '<message>', 'Authenticate', 'user', '{}', 'on', 'Syncope', 'located', '{}', '</message>']",1,1,1
1160,org.apache.karaf.kar.internal.FeatureDetector.isFeaturesRepository69,debug,"['<level>', 'debug', '</level>', '<message>', 'File', ""'{}'"", 'is', 'not', 'a', 'features', 'file.', '</message>']",1,1,1
958,org.apache.karaf.kar.internal.Kar.extract95,debug,"['<level>', 'debug', '</level>', '<message>', 'Uncompress', 'the', 'KAR', 'file', '{}', 'into', 'directory', '{}', '</message>']",1,1,1
1596,org.apache.karaf.kar.internal.KarServiceImpl.install92,debug,"['<level>', 'debug', '</level>', '<message>', 'Installing', 'KAR', '{}', 'from', '{}', '</message>']",1,1,1
42,org.apache.karaf.management.KarafMBeanServerGuard.printDetailedMessage421,debug,"['<level>', 'debug', '</level>', '<message>', 'The', 'current', 'roles', 'are', ""\\'"", '|', ""\\',"", 'however', 'the', 'expected', 'roles', 'are', ""\\'"", '|', ""\\'."", 'To', 'make', 'the', 'call', 'pass', 'RBAC', 'check,', 'please', 'add', 'current', 'role', 'into', 'entry', ""\\'"", '|', ""\\'"", 'of', 'file', '|', '.cfg', '</message>']",1,1,1
1439,org.apache.karaf.scheduler.core.QuartzJobExecutor.execute52,debug,"['<level>', 'debug', '</level>', '<message>', 'Executing', 'job', '{}', 'with', 'name', '{}', '</message>']",1,1,1
827,org.apache.karaf.scheduler.core.QuartzScheduler.reschedule272,debug,"['<level>', 'debug', '</level>', '<message>', 'Update', 'job', 'scheduling', '{}', 'with', 'name', '{}', 'and', 'trigger', '{}', '</message>']",1,1,1
1797,org.apache.karaf.scheduler.core.QuartzScheduler.schedule222,debug,"['<level>', 'debug', '</level>', '<message>', 'Unscheduling', 'job', 'with', 'name', '{}', '</message>']",1,1,1
828,org.apache.karaf.scheduler.core.QuartzScheduler.schedule240,debug,"['<level>', 'debug', '</level>', '<message>', 'Scheduling', 'job', '{}', 'with', 'name', '{}', 'and', 'trigger', '{}', '</message>']",1,1,1
686,org.apache.karaf.scheduler.core.WhiteboardHandler.register141,debug,"['<level>', 'debug', '</level>', '<message>', 'Ignoring', 'service', '{}', ':', 'scheduler', 'period', 'is', 'less', 'than', '1.', '</message>']",1,1,1
392,org.apache.karaf.scheduler.core.WhiteboardHandler.register143,debug,"['<level>', 'debug', '</level>', '<message>', 'Ignoring', 'service', '{}', ':', 'scheduler', 'times', 'is', 'defined', 'but', 'is', 'less', 'than', '-1.', '</message>']",1,1,1
959,org.apache.karaf.scheduler.core.WhiteboardHandler.register162,debug,"['<level>', 'debug', '</level>', '<message>', 'Ignoring', 'service', '{}', ':', 'no', 'scheduling', 'property', 'found.', '</message>']",1,1,1
687,org.apache.karaf.service.guard.impl.GuardProxyCatalog.proxyIfNotAlreadyProxied262,debug,"['<level>', 'debug', '</level>', '<message>', 'Created', 'proxy', 'of', 'service', '{}', 'under', '{}', 'with', 'properties', '{}', '</message>']",1,1,1
2276,org.apache.karaf.shell.commands.impl.ExecuteAction.execute56,debug,"['<level>', 'debug', '</level>', '<message>', 'Executing:', '{}', '</message>']",1,1,1
1798,org.apache.karaf.shell.commands.impl.ExecuteAction.execute62,debug,"['<level>', 'debug', '</level>', '<message>', 'Waiting', 'for', 'process', 'to', 'exit...', '</message>']",1,1,1
829,org.apache.karaf.shell.console.completer.CommandsCompleter.checkData242,debug,"['<level>', 'debug', '</level>', '<message>', 'Unable', 'to', 'create', 'completers', 'for', 'command', ""'"", '|', ""'"", '</message>']",1,1,1
830,org.apache.karaf.shell.console.completer.CommandsCompleter.checkData250,debug,"['<level>', 'debug', '</level>', '<message>', 'Unable', 'to', 'create', 'completers', 'for', 'command', ""'"", '|', ""'"", '</message>']",1,1,1
2608,org.apache.karaf.shell.impl.action.osgi.CommandExtender.debug73,debug,"['<level>', 'debug', '</level>', '<message>', ' ', '</message>']",0,0,0
2272,org.apache.karaf.shell.impl.console.JLineTerminal.handle296,debug,"['<level>', 'debug', '</level>', '<message>', 'unsupported', 'operation', '</message>']",1,1,0
1948,org.apache.karaf.shell.ssh.KarafJaasAuthenticator.doLogin97,debug,"['<level>', 'debug', '</level>', '<message>', 'User', 'authentication', 'failed', 'with', '</message>']",1,1,1
1951,org.apache.karaf.shell.ssh.SshAction.execute111,debug,"['<level>', 'debug', '</level>', '<message>', 'Prompting', 'user', 'for', 'login', '</message>']",1,1,1
2115,org.apache.karaf.shell.ssh.SshAction.execute127,debug,"['<level>', 'debug', '</level>', '<message>', 'Created', 'client:', '{}', '</message>']",1,1,1
2116,org.apache.karaf.shell.ssh.SshServerAction.execute62,debug,"['<level>', 'debug', '</level>', '<message>', 'Created', 'server:', '{}', '</message>']",1,1,1
2613,org.apache.karaf.tooling.features.AbstractFeatureMojo.addFeatureRepo106,debug,"['<level>', 'debug', '</level>', '<message>', ' ', '</message>']",0,0,0
961,org.apache.karaf.tooling.KarMojo.createArchive264,debug,"['<level>', 'debug', '</level>', '<message>', 'Feature', 'artifact', 'is', 'a', 'SNAPSHOT,', 'handling', 'the', 'maven-metadata-local.xml', '</message>']",1,1,1
2284,org.apache.karaf.tooling.KarMojo.createArchive266,debug,"['<level>', 'debug', '</level>', '<message>', 'Looking', 'for', '</message>']",1,1,1
