System,ID,Callsite,Line,Level,Log,Structural,Information,Wording
Elasticsearch,2596,org.elasticsearch.xpack.watcher.input.search.ExecutableSearchInput.doExecute,85,debug,"java.lang.String(name)[{}] hit [{}]-org.elasticsearch.xpack.core.watcher.execution.Wid(name)ctx.id()-java.util.Map<String,Object>(name)hit.getSourceAsMap()",o,x,o
Elasticsearch,2612,org.elasticsearch.xpack.watcher.notification.email.support.EmailServer.EmailServer,62,error,java.lang.String(name)Unexpected failure-java.lang.Exception(name)e,o,x,o
Elasticsearch,2615,org.elasticsearch.xpack.watcher.trigger.ScheduleTriggerEngineMock.trigger,98,debug,java.lang.String(name)firing watch [{}] at [{}]-java.lang.String(name)jobName-java.time.ZonedDateTime(name)now,o,o,x
Elasticsearch,2614,org.elasticsearch.xpack.watcher.trigger.ScheduleTriggerEngineMock.trigger,92,info,java.lang.String(name)not executing watch [{}] on this scheduler because it is paused-java.lang.String(name)jobName,o,o,x
Elasticsearch,2611,org.elasticsearch.xpack.watcher.watch.WatchParser.parse,116,trace,java.lang.String(name)parsing watch [{}] -java.lang.String(name)source.utf8ToString(),o,x,x
Elasticsearch,2562,org.elasticsearch.xpack.watcher.WatcherIndexingListener.clusterChanged,212,error,java.lang.String(name)error loading watches index: [{}]-java.lang.String(name)e.getMessage(),o,o,x
Elasticsearch,2557,org.elasticsearch.xpack.watcher.WatcherService.loadWatches,371,debug,java.lang.String(name)Loaded [{}] watches for execution-int(name)watches.size(),o,o,o
Elasticsearch,2552,org.elasticsearch.xpack.watcher.WatcherService.reloadInner,229,debug,"java.lang.String(name)watch service has not been reloaded for state [{}], another reload for state [{}] in progress-long(name)state.getVersion()-long(name)processedClusterStateVersion.get()",o,o,o
Elasticsearch,2554,org.elasticsearch.xpack.watcher.WatcherService.reloadInner,253,debug,"java.lang.String(name)watch service has not been reloaded for state [{}], another reload for state [{}] in progress-long(name)state.getVersion()-long(name)processedClusterStateVersion.get()",o,o,o
Elasticsearch,2549,org.elasticsearch.xpack.watcher.WatcherService.stop,155,info,"java.lang.String(name)stopping watch service, reason [{}]-java.lang.String(name)reason",o,o,x
Elasticsearch,2548,org.elasticsearch.xpack.watcher.WatcherService.validate,142,debug,java.lang.String(name)error validating to start watcher-java.lang.IllegalStateException(name)e,o,o,x
Flink,2197,org.apache.calcite.sql.validate.SqlValidatorImpl.validateScopedExpression,938,trace,java.lang.String(name)After validation: {}-org.apache.calcite.sql.SqlNode(name)outermostNode,o,x,o
Flink,505,org.apache.flink.addons.hbase.HBaseLookupFunction.close,143,info,java.lang.String(name)end close.,o,x,x
Flink,501,org.apache.flink.addons.hbase.HBaseLookupFunction.open,119,info,java.lang.String(name)end open.,o,x,x
Flink,512,org.apache.flink.addons.hbase.HBaseUpsertSinkFunction.open,156,info,java.lang.String(name)end open.,o,x,x
Flink,369,org.apache.flink.api.common.io.BinaryInputFormat.createInputSplits,134,warn,"java.lang.String(name)String.format(""With the given block size %d, the files %s cannot be split into %d blocks. Filling up with empty splits..."",blockSize,Arrays.toString(getFilePaths()),minNumSplits)",o,o,o
Flink,373,org.apache.flink.api.common.state.StateDescriptor.initializeSerializerUnlessSet,307,debug,java.lang.String(name)Someone else beat us at initializing the serializer.,o,x,x
Flink,470,org.apache.flink.api.java.hadoop.mapred.HadoopInputFormatBase.getStatistics,133,warn,"java.lang.String(name)""Could not determine statistics due to an io error: "" + ioex.getMessage()",o,o,o
Flink,384,org.apache.flink.api.java.typeutils.TypeExtractor.analyzePojo,1909,info,"java.lang.String(name)""The default constructor of "" + clazz + "" is not Public so it cannot be used as a POJO type ""+ ""and must be processed as GenericType. Please read the Flink documentation ""+ ""on \""Data Types & Serialization\"" for details of the effect on performance.""",o,o,o
Flink,379,org.apache.flink.api.java.typeutils.TypeExtractor.analyzePojo,1847,info,"java.lang.String(name)""No fields were detected for "" + clazz + "" so it cannot be used as a POJO type ""+ ""and must be processed as GenericType. Please read the Flink documentation ""+ ""on \""Data Types & Serialization\"" for details of the effect on performance.""",o,o,o
Flink,383,org.apache.flink.api.java.typeutils.TypeExtractor.analyzePojo,1902,info,"java.lang.String(name)clazz + "" is missing a default constructor so it cannot be used as a POJO type "" + ""and must be processed as GenericType. Please read the Flink documentation ""+ ""on \""Data Types & Serialization\"" for details of the effect on performance.""",o,o,x
Flink,385,org.apache.flink.api.java.typeutils.TypeExtractor.privateGetForObject,2026,warn,"java.lang.String(name)""Cannot extract type of Row field, because of Row field["" + i + ""] is null. ""+ ""Should define RowTypeInfo explicitly.""",o,o,o
Flink,21,org.apache.flink.client.cli.CliFrontend.handleParametrizationException,852,error,java.lang.String(name)Program has not been parametrized properly.-org.apache.flink.client.program.ProgramParametrizationException(name)e,o,o,o
Flink,8,org.apache.flink.client.cli.CliFrontend.runProgram,267,debug,java.lang.String(name)User parallelism is set to {}-int(name)userParallelism,o,o,o
Flink,7,org.apache.flink.client.cli.CliFrontend.runProgram,264,debug,java.lang.String(name){}-org.apache.flink.runtime.jobgraph.SavepointRestoreSettings(name)runOptions.getSavepointRestoreSettings(),x,x,x
Flink,34,org.apache.flink.client.program.rest.RestClusterClient.close,210,error,java.lang.String(name)Error while closing the Cluster Client-java.lang.Exception(name)e,o,o,o
Flink,708,org.apache.flink.client.python.PythonDriver.main,55,error,java.lang.String(name)Could not parse command line arguments {}.-String[](name)args-java.lang.Exception(name)e,o,o,o
Flink,411,org.apache.flink.configuration.Configuration.convertToDouble,942,warn,java.lang.String(name)Configuration cannot evaluate value {} as a double value-java.lang.Object(name)o,o,o,o
Flink,410,org.apache.flink.configuration.Configuration.convertToFloat,924,warn,java.lang.String(name)Configuration cannot evaluate value {} as a float value-java.lang.Object(name)o,o,o,o
Flink,407,org.apache.flink.configuration.Configuration.convertToInt,871,warn,java.lang.String(name)Configuration cannot evaluate value {} as an integer number-java.lang.Object(name)o,o,o,o
Flink,1997,org.apache.flink.contrib.streaming.state.restore.RocksDBIncrementalRestoreOperation.cleanUpPathQuietly,248,warn,"java.lang.String(name)""Failed to clean up path "" + path-java.io.IOException(name)ex",o,o,o
Flink,1990,org.apache.flink.contrib.streaming.state.RocksDBMapState.clear,262,warn,java.lang.String(name)Error while cleaning the state.-java.lang.Exception(name)e,o,o,o
Flink,1980,org.apache.flink.contrib.streaming.state.RocksDBStateBackend.configureOptionsFactory,550,info,java.lang.String(name)Using application-defined options factory: {}.-org.apache.flink.contrib.streaming.state.OptionsFactory(name)originalOptionsFactory,o,o,o
Flink,1981,org.apache.flink.contrib.streaming.state.RocksDBStateBackend.configureOptionsFactory,559,info,java.lang.String(name)Using default options factory: {}.-org.apache.flink.contrib.streaming.state.DefaultConfigurableOptionsFactory(name)optionsFactory,o,o,o
Flink,1979,org.apache.flink.contrib.streaming.state.RocksDBStateBackend.lazyInitializeForJob,418,error,java.lang.String(name)msg,x,x,x
Flink,2000,org.apache.flink.contrib.streaming.state.snapshot.RocksIncrementalSnapshotStrategy.snapshotMetaData,234,trace,java.lang.String(name)Taking incremental snapshot for checkpoint {}. Snapshot is based on last completed checkpoint {} assuming the following (shared) files as base: {}.-long(name)checkpointId-long(name)lastCompletedCheckpoint-java.util.Set<StateHandleID>(name)baseSstFiles,o,o,o
Flink,424,org.apache.flink.core.fs.FileSystem.loadHadoopFsFactory,1068,info,java.lang.String(name)Hadoop is not in the classpath/dependencies. The extended set of supported File Systems via Hadoop is not available.,o,o,o
Flink,441,org.apache.flink.docs.rest.RestAPIDocGenerator.createMessageHtmlEntry,243,error,java.lang.String(name)Failed to generate message schema for class {}.-java.lang.Class<>(name)messageClass-org.apache.flink.shaded.jackson2.com.fasterxml.jackson.core.JsonProcessingException(name)e,o,o,o
Flink,442,org.apache.flink.docs.rest.RestAPIDocGenerator.createMessageHtmlEntry,255,error,java.lang.String(name)Failed to write message schema for class {}.-java.lang.String(name)messageClass.getCanonicalName()-org.apache.flink.shaded.jackson2.com.fasterxml.jackson.core.JsonProcessingException(name)e,o,o,o
Flink,624,org.apache.flink.dropwizard.ScheduledDropwizardReporter.notifyOfAddedMetric,155,warn,java.lang.String(name)Cannot add metric of type {}. This indicates that the reporter does not support this metric type.-java.lang.String(name)metric.getClass().getName(),o,o,o
Flink,446,org.apache.flink.examples.java.distcp.DistCp.main,148,info,java.lang.String(name)== COUNTERS ==,x,x,x
Flink,447,org.apache.flink.examples.java.distcp.DistCp.main,150,info,"java.lang.String(name)e.getKey() + "": "" + e.getValue()",x,x,x
Flink,705,org.apache.flink.formats.parquet.utils.ParquetRecordReader.readNextRecord,259,debug,java.lang.String(name)read value: {}-T(name)readRecord,o,x,x
Flink,2166,org.apache.flink.fs.openstackhadoop.SwiftFileSystemFactory.create,65,debug,java.lang.String(name)Creating swift file system (backed by a Hadoop native swift file system),o,o,o
Flink,2169,org.apache.flink.fs.openstackhadoop.SwiftFileSystemFactory.create,98,warn,java.lang.String(name)The factory has not been configured prior to loading the Swift native file system. Using Hadoop configuration from the classpath.,o,o,o
Flink,1960,org.apache.flink.fs.s3.common.writer.S3Committer.commitAfterRecovery,97,warn,java.lang.String(name)message,x,x,x
Flink,556,org.apache.flink.mesos.entrypoint.MesosEntrypointUtils.createTmParameters,111,info,"java.lang.String(name)TaskManagers will be started with container size {} MB, JVM heap size {} MB, JVM direct memory limit {} MB, {} cpus, {} gpus, disk space {} MB-long(name)taskManagerParameters.containeredParameters().taskManagerTotalMemoryMB()-long(name)taskManagerParameters.containeredParameters().taskManagerHeapSizeMB()-long(name)taskManagerParameters.containeredParameters().taskManagerDirectMemoryLimitMB()-double(name)taskManagerParameters.cpus()-int(name)taskManagerParameters.gpus()-int(name)taskManagerParameters.disk()",o,o,o
Flink,565,org.apache.flink.mesos.runtime.clusterframework.MesosResourceManager.internalDeregisterApplication,410,info,java.lang.String(name)Shutting down and unregistering as a Mesos framework.,o,o,o
Flink,567,org.apache.flink.mesos.runtime.clusterframework.MesosResourceManager.startNewWorker,448,info,"java.lang.String(name)Scheduling Mesos task {} with ({} MB, {} cpus).-java.lang.String(name)launchable.taskID().getValue()-double(name)launchable.taskRequest().getMemory()-double(name)launchable.taskRequest().getCPUs()",o,o,o
Flink,568,org.apache.flink.mesos.runtime.clusterframework.MesosResourceManager.stopWorker,466,info,java.lang.String(name)Stopping worker {}.-org.apache.flink.runtime.clusterframework.types.ResourceID(name)workerNode.getResourceID(),o,o,o
Flink,574,org.apache.flink.mesos.runtime.clusterframework.MesosResourceManager.taskTerminated,665,info,"java.lang.String(name)Worker {} failed with status: {}, reason: {}, message: {}.-org.apache.flink.runtime.clusterframework.types.ResourceID(name)id-org.apache.mesos.TaskState(name)status.getState()-org.apache.mesos.Reason(name)status.getReason()-java.lang.String(name)status.getMessage()",o,o,o
Flink,583,org.apache.flink.mesos.util.MesosArtifactServer.MesosArtifactServer,169,info,"java.lang.String(name)Mesos Artifact Server Base URL: {}, listening at {}:{}-java.net.URL(name)baseURL-java.lang.String(name)address-int(name)port",o,o,o
Flink,598,org.apache.flink.mesos.util.MesosConfiguration.logMesosConfig,145,info,"java.lang.String(name) ID: {}-java.lang.Object(name)info.hasId() ? info.getId().getValue() : ""(none)""",o,x,o
Flink,599,org.apache.flink.mesos.util.MesosConfiguration.logMesosConfig,146,info,"java.lang.String(name) Name: {}-java.lang.Object(name)info.hasName() ? info.getName() : ""(none)""",o,x,o
Flink,601,org.apache.flink.mesos.util.MesosConfiguration.logMesosConfig,148,info,"java.lang.String(name) Role: {}-java.lang.Object(name)info.hasRole() ? info.getRole() : ""(none)""",o,x,o
Flink,608,org.apache.flink.mesos.util.MesosConfiguration.logMesosConfig,161,info,java.lang.String(name)--------------------------------------------------------------------------------,x,x,x
Flink,588,org.apache.flink.mesos.util.MesosResourceAllocation.takeScalar,88,debug,java.lang.String(name)Allocating {} {}-double(name)amount-java.lang.String(name)resourceName,x,x,o
Flink,612,org.apache.flink.metrics.datadog.DatadogHttpReporter.notifyOfAddedMetric,84,warn,java.lang.String(name)Cannot add unknown metric type {}. This indicates that the reporter does not support this metric type.-java.lang.String(name)metric.getClass().getName(),o,o,o
Flink,613,org.apache.flink.metrics.datadog.DatadogHttpReporter.notifyOfRemovedMetric,100,warn,java.lang.String(name)Cannot remove unknown metric type {}. This indicates that the reporter does not support this metric type.-java.lang.String(name)metric.getClass().getName(),o,o,o
Flink,616,org.apache.flink.metrics.datadog.DatadogHttpReporter.report,136,info,java.lang.String(name)The metric {} will not be reported because only number types are supported by this reporter.-java.lang.String(name)g.getMetric(),o,o,o
Flink,636,org.apache.flink.metrics.jmx.JMXReporter.notifyOfAddedMetric,186,error,java.lang.String(name)Cannot add unknown metric type: {}. This indicates that the metric type is not supported by this reporter.-java.lang.String(name)metric.getClass().getName(),o,o,o
Flink,643,org.apache.flink.metrics.prometheus.AbstractPrometheusReporter.createCollector,149,warn,java.lang.String(name)Cannot create collector for unknown metric type: {}. This indicates that the metric type is not supported by this reporter.-java.lang.String(name)metric.getClass().getName(),o,o,o
Flink,648,org.apache.flink.metrics.prometheus.AbstractPrometheusReporter.gaugeFrom,239,debug,"java.lang.String(name)Invalid type for Gauge {}: {}, only number types and booleans are supported by this reporter.-org.apache.flink.metrics.Gauge(name)gauge-java.lang.String(name)value.getClass().getName()",o,o,o
Flink,645,org.apache.flink.metrics.prometheus.AbstractPrometheusReporter.removeMetric,181,warn,java.lang.String(name)Cannot remove unknown metric type: {}. This indicates that the metric type is not supported by this reporter.-java.lang.String(name)metric.getClass().getName(),o,o,o
Flink,609,org.apache.flink.metrics.reporter.AbstractReporter.notifyOfAddedMetric,60,warn,java.lang.String(name)Cannot add unknown metric type {}. This indicates that the reporter does not support this metric type.-java.lang.String(name)metric.getClass().getName(),o,o,o
Flink,610,org.apache.flink.metrics.reporter.AbstractReporter.notifyOfRemovedMetric,78,warn,java.lang.String(name)Cannot remove unknown metric type {}. This indicates that the reporter does not support this metric type.-java.lang.String(name)metric.getClass().getName(),o,o,o
Flink,677,org.apache.flink.optimizer.traversals.GraphCreatingVisitor.preVisit,254,warn,java.lang.String(name)The parallelism of nested dataflows (such as step functions in iterations) is currently fixed to the parallelism of the surrounding operator (the iteration).,o,o,o
Flink,723,org.apache.flink.queryablestate.network.AbstractServerBase.attemptToBind,212,debug,java.lang.String(name)Attempting to start {} on port {}.-java.lang.String(name)serverName-int(name)port,o,o,o
Flink,730,org.apache.flink.queryablestate.network.AbstractServerHandler.operationComplete,303,debug,java.lang.String(name)Request {} was successfully answered after {} ms.-REQ(name)request-long(name)durationMillis,o,o,o
Flink,739,org.apache.flink.runtime.accumulators.AccumulatorRegistry.getSnapshot,59,warn,java.lang.String(name)Failed to serialize accumulators for task.-java.lang.Throwable(name)e,o,o,o
Flink,758,org.apache.flink.runtime.blob.BlobServer.close,315,debug,java.lang.String(name)Error while waiting for this thread to die.-java.lang.InterruptedException(name)ie,o,o,x
Flink,768,org.apache.flink.runtime.blob.BlobServer.moveTempFileToStore,717,debug,"java.lang.String(name)Trying to find a unique key for BLOB of job {} (retry {}, last tried {})-org.apache.flink.api.common.JobID(name)jobId-int(name)attempt-java.lang.String(name)storageFile.getAbsolutePath()",o,o,o
Flink,763,org.apache.flink.runtime.blob.BlobServer.putBuffer,586,warn,java.lang.String(name)Could not delete the staging file {} for job {}.-java.io.File(name)incomingFile-org.apache.flink.api.common.JobID(name)jobId,o,o,o
Flink,784,org.apache.flink.runtime.blob.BlobServerConnection.run,126,debug,java.lang.String(name)Socket connection closed-java.net.SocketException(name)e,o,o,o
Flink,798,org.apache.flink.runtime.blob.BlobUtils.closeSilently,388,debug,java.lang.String(name)Exception while closing BLOB server connection socket.-java.lang.Throwable(name)t,o,o,o
Flink,800,org.apache.flink.runtime.blob.BlobUtils.moveTempFileToStore,447,warn,java.lang.String(name)File upload for an existing file with key {} for job {}. This may indicate a duplicate upload or a hash collision. Ignoring newest upload.-org.apache.flink.runtime.blob.BlobKey(name)blobKey-org.apache.flink.api.common.JobID(name)jobId,o,o,o
Flink,801,org.apache.flink.runtime.blob.BlobUtils.moveTempFileToStore,454,warn,java.lang.String(name)Could not delete the storage file {}.-java.io.File(name)storageFile,o,o,o
Flink,826,org.apache.flink.runtime.checkpoint.CheckpointCoordinator.completePendingCheckpoint,883,warn,java.lang.String(name)Could not properly discard completed checkpoint {}.-long(name)completedCheckpoint.getCheckpointID()-java.lang.Throwable(name)t,o,o,o
Flink,836,org.apache.flink.runtime.checkpoint.CheckpointCoordinator.discardSubtaskState,1400,warn,java.lang.String(name)Could not properly discard state object of checkpoint {} belonging to task {} of job {}.-long(name)checkpointId-org.apache.flink.runtime.executiongraph.ExecutionAttemptID(name)executionAttemptID-org.apache.flink.api.common.JobID(name)jobId-java.lang.Throwable(name)t2,o,o,o
Flink,817,org.apache.flink.runtime.checkpoint.CheckpointCoordinator.receiveDeclineMessage,732,debug,java.lang.String(name)Received another decline message for now expired checkpoint attempt {} from task {} of job {} at {} : {}-long(name)checkpointId-org.apache.flink.runtime.executiongraph.ExecutionAttemptID(name)message.getTaskExecutionId()-org.apache.flink.api.common.JobID(name)job-java.lang.String(name)taskManagerLocationInfo-java.lang.String(name)reason,o,o,o
Flink,818,org.apache.flink.runtime.checkpoint.CheckpointCoordinator.receiveDeclineMessage,736,debug,java.lang.String(name)Received decline message for unknown (too old?) checkpoint attempt {} from task {} of job {} at {} : {}-long(name)checkpointId-org.apache.flink.runtime.executiongraph.ExecutionAttemptID(name)message.getTaskExecutionId()-org.apache.flink.api.common.JobID(name)job-java.lang.String(name)taskManagerLocationInfo-java.lang.String(name)reason,o,o,o
Flink,834,org.apache.flink.runtime.checkpoint.CheckpointCoordinator.run,1326,error,java.lang.String(name)Exception while triggering checkpoint for job {}.-org.apache.flink.api.common.JobID(name)job-java.lang.Exception(name)e,o,o,o
Flink,808,org.apache.flink.runtime.checkpoint.CheckpointCoordinator.triggerCheckpoint,502,info,java.lang.String(name)Checkpoint triggering task {} of job {} is not being executed at the moment. Aborting checkpoint.-java.lang.String(name)tasksToTrigger[i].getTaskNameWithSubtaskIndex()-org.apache.flink.api.common.JobID(name)job,o,o,o
Flink,810,org.apache.flink.runtime.checkpoint.CheckpointCoordinator.triggerCheckpoint,527,info,java.lang.String(name)Checkpoint acknowledging task {} of job {} is not being executed at the moment. Aborting checkpoint.-java.lang.String(name)ev.getTaskNameWithSubtaskIndex()-org.apache.flink.api.common.JobID(name)job,o,o,o
Flink,815,org.apache.flink.runtime.checkpoint.CheckpointCoordinator.triggerCheckpoint,673,warn,java.lang.String(name)Cannot dispose failed checkpoint storage location {}-org.apache.flink.runtime.state.CheckpointStorageLocation(name)checkpointStorageLocation-java.lang.Throwable(name)t2,o,o,o
Flink,845,org.apache.flink.runtime.checkpoint.Checkpoints.loadAndValidateCheckpoint,209,info,java.lang.String(name)Skipping empty savepoint state for operator {}.-org.apache.flink.runtime.jobgraph.OperatorID(name)operatorState.getOperatorID(),o,o,o
Flink,837,org.apache.flink.runtime.checkpoint.CompletedCheckpointStore.getLatestCheckpoint,72,info,"java.lang.String(name)Found a completed checkpoint before the latest savepoint, will use it to recover!",o,o,o
Flink,874,org.apache.flink.runtime.checkpoint.hooks.MasterHooks.restoreMasterHooks,252,debug,java.lang.String(name)Found state to restore for hook '{}'-java.lang.String(name)name,o,o,o
Flink,869,org.apache.flink.runtime.checkpoint.ZooKeeperCheckpointIDCounter.shutdown,97,info,java.lang.String(name)Shutting down.,o,x,o
Flink,861,org.apache.flink.runtime.checkpoint.ZooKeeperCompletedCheckpointStore.pathToCheckpointId,326,warn,java.lang.String(name)Could not parse checkpoint id from {}. This indicates that the checkpoint id to path conversion has changed.-java.lang.String(name)path,o,o,o
Flink,854,org.apache.flink.runtime.checkpoint.ZooKeeperCompletedCheckpointStore.recover,163,info,java.lang.String(name)Trying to fetch {} checkpoints from storage.-int(name)numberOfInitialCheckpoints,o,o,o
Flink,859,org.apache.flink.runtime.checkpoint.ZooKeeperCompletedCheckpointStore.shutdown,265,info,java.lang.String(name)Shutting down,o,x,o
Flink,860,org.apache.flink.runtime.checkpoint.ZooKeeperCompletedCheckpointStore.shutdown,276,info,java.lang.String(name)Suspending,o,x,o
Flink,876,org.apache.flink.runtime.clusterframework.BootstrapTools.startActorSystem,244,info,java.lang.String(name)Trying to start actor system at {}-java.lang.String(name)hostPortUrl,o,o,o
Flink,880,org.apache.flink.runtime.clusterframework.BootstrapTools.updateTmpDirectoriesInConfiguration,530,info,java.lang.String(name)Setting directories for temporary files to: {}-java.lang.String(name)defaultDirs,o,o,o
Flink,898,org.apache.flink.runtime.dispatcher.Dispatcher.jobNotFinished,803,info,java.lang.String(name)Job {} was not finished by JobManager.-org.apache.flink.api.common.JobID(name)jobId,o,o,o
Flink,896,org.apache.flink.runtime.dispatcher.Dispatcher.jobReachedGloballyTerminalState,768,info,java.lang.String(name)Job {} reached globally terminal state {}.-org.apache.flink.api.common.JobID(name)archivedExecutionGraph.getJobID()-org.apache.flink.runtime.jobgraph.JobStatus(name)archivedExecutionGraph.getState(),o,o,o
Flink,893,org.apache.flink.runtime.dispatcher.Dispatcher.terminateJobManagerRunners,696,info,java.lang.String(name)Stopping all currently running jobs of dispatcher {}.-java.lang.String(name)getAddress(),o,o,o
Flink,904,org.apache.flink.runtime.dispatcher.DispatcherRestEndpoint.initializeHandlers,113,info,java.lang.String(name)Failed to load web based job submission extension. Probable reason: flink-runtime-web is not in the classpath.,o,o,o
Flink,911,org.apache.flink.runtime.entrypoint.ClusterEntrypoint.onFatalError,374,error,java.lang.String(name)Fatal error occurred in the cluster entrypoint.-java.lang.Throwable(name)exception,o,o,o
Flink,906,org.apache.flink.runtime.entrypoint.StandaloneSessionClusterEntrypoint.main,56,error,java.lang.String(name)Could not parse command line arguments {}.-String[](name)args-org.apache.flink.runtime.entrypoint.FlinkParseException(name)e,o,o,o
Flink,957,org.apache.flink.runtime.executiongraph.ExecutionGraph.allVerticesInTerminalState,1417,warn,java.lang.String(name)Job has entered globally terminal state without waiting for all job vertices to reach final state.,o,o,o
Flink,946,org.apache.flink.runtime.executiongraph.ExecutionGraph.attachJobGraph,891,debug,java.lang.String(name)Attaching {} topologically sorted vertices to existing job graph with {} vertices and {} intermediate results.-int(name)topologiallySorted.size()-int(name)tasks.size()-int(name)intermediateResults.size(),o,o,o
Flink,958,org.apache.flink.runtime.executiongraph.ExecutionGraph.tryRestartOrFail,1444,debug,java.lang.String(name)Try to restart or fail the job {} ({}) if no longer possible.-java.lang.String(name)getJobName()-org.apache.flink.api.common.JobID(name)getJobID()-java.lang.Throwable(name)failureCause,o,o,o
Flink,964,org.apache.flink.runtime.executiongraph.ExecutionGraph.updateAccumulators,1693,debug,java.lang.String(name)Received accumulator result for unknown execution {}.-org.apache.flink.runtime.executiongraph.ExecutionAttemptID(name)execID,o,o,o
Flink,924,org.apache.flink.runtime.executiongraph.ExecutionGraphBuilder.buildGraph,222,info,java.lang.String(name)Successfully ran initialization on master in {} ms.-long(name)(System.nanoTime() - initMasterStart) / 1_000_000,o,o,o
Flink,927,org.apache.flink.runtime.executiongraph.ExecutionGraphBuilder.buildGraph,257,warn,java.lang.String(name)The setting for '{} : {}' is invalid. Using default value of {}-java.lang.String(name)CheckpointingOptions.MAX_RETAINED_CHECKPOINTS.key()-int(name)maxNumberOfCheckpointsToRetain-java.lang.Integer(name)CheckpointingOptions.MAX_RETAINED_CHECKPOINTS.defaultValue(),o,o,o
Flink,972,org.apache.flink.runtime.executiongraph.failover.FailoverRegion.FailoverRegion,86,debug,java.lang.String(name)Created failover region {} with vertices: {}-org.apache.flink.util.AbstractID(name)id-java.util.List<ExecutionVertex>(name)connectedExecutions,o,o,o
Flink,987,org.apache.flink.runtime.executiongraph.failover.flip1.RestartPipelinedRegionStrategy.buildFailoverRegions,102,debug,java.lang.String(name)Creating a failover region with {} vertices.-int(name)regionVertices.size(),o,o,o
Flink,983,org.apache.flink.runtime.executiongraph.failover.RestartPipelinedRegionStrategy.makeAllOneRegion,206,warn,java.lang.String(name)Cannot decompose ExecutionGraph into individual failover regions due to use of Co-Location constraints (iterations). Job will fail over as one holistic unit.,o,o,o
Flink,991,org.apache.flink.runtime.executiongraph.restart.RestartStrategyFactory.createRestartStrategyFactory,150,warn,java.lang.String(name)Could not find restart strategy class {}.-java.lang.String(name)restartStrategyName,o,o,o
Flink,479,org.apache.flink.runtime.fs.hdfs.HadoopFsFactory.create,110,debug,java.lang.String(name)Instantiating for file system scheme {} Hadoop File System {}-java.lang.String(name)scheme-java.lang.String(name)fsClass.getName(),o,o,o
Flink,1010,org.apache.flink.runtime.highavailability.nonha.embedded.EmbeddedLeaderService.run,516,warn,java.lang.String(name)Error notifying leader listener about new leader-java.lang.Throwable(name)t,o,o,o
Flink,1017,org.apache.flink.runtime.history.FsJobArchivist.archiveJob,92,info,java.lang.String(name)Job {} has been archived at {}.-org.apache.flink.api.common.JobID(name)jobId-org.apache.flink.core.fs.Path(name)path,o,o,o
Flink,1020,org.apache.flink.runtime.io.disk.iomanager.IOManager.deleteChannel,101,warn,java.lang.String(name)IOManager failed to delete temporary file {}-java.lang.String(name)channel.getPath(),o,o,o
Flink,1043,org.apache.flink.runtime.io.network.api.writer.RecordWriter.notifyFlusherException,294,error,java.lang.String(name)An exception happened while flushing the outputs-java.lang.Throwable(name)t,o,o,o
Flink,1045,org.apache.flink.runtime.io.network.buffer.NetworkBufferPool.NetworkBufferPool,140,info,"java.lang.String(name)Allocated {} MB for network buffer pool (number of memory segments: {}, bytes per segment: {}).-long(name)allocatedMb-int(name)availableMemorySegments.size()-int(name)segmentSize",o,o,o
Flink,1038,org.apache.flink.runtime.io.network.NettyShuffleEnvironment.close,312,warn,java.lang.String(name)Cannot shut down the network connection manager.-java.lang.Throwable(name)t,o,o,o
Flink,1040,org.apache.flink.runtime.io.network.NettyShuffleEnvironment.close,321,warn,java.lang.String(name)Cannot shut down the result partition manager.-java.lang.Throwable(name)t,o,o,o
Flink,1042,org.apache.flink.runtime.io.network.NettyShuffleEnvironment.close,340,warn,java.lang.String(name)Cannot close the file channel manager properly.-java.lang.Throwable(name)t,o,o,o
Flink,1034,org.apache.flink.runtime.io.network.NettyShuffleEnvironment.start,283,info,java.lang.String(name)Starting the network environment and its components.,o,o,o
Flink,1032,org.apache.flink.runtime.io.network.TaskEventDispatcher.registerPartition,59,debug,java.lang.String(name)registering {}-org.apache.flink.runtime.io.network.partition.ResultPartitionID(name)partitionId,o,o,x
Flink,1033,org.apache.flink.runtime.io.network.TaskEventDispatcher.unregisterPartition,78,debug,java.lang.String(name)unregistering {}-org.apache.flink.runtime.io.network.partition.ResultPartitionID(name)partitionId,o,o,x
Flink,1099,org.apache.flink.runtime.iterative.task.AbstractIterativeTask.closeLocalStrategiesAndCaches,177,error,java.lang.String(name)Error while shutting down an iterative operator.-java.lang.Throwable(name)t,o,o,o
Flink,1113,org.apache.flink.runtime.jobmanager.ZooKeeperJobGraphStore.putJobGraph,215,debug,java.lang.String(name)Adding job graph {} to {}{}.-org.apache.flink.api.common.JobID(name)jobGraph.getJobID()-java.lang.String(name)zooKeeperFullBasePath-java.lang.String(name)path,x,o,o
Flink,1111,org.apache.flink.runtime.jobmanager.ZooKeeperJobGraphStore.recoverJobGraph,163,debug,java.lang.String(name)Recovering job graph {} from {}{}.-org.apache.flink.api.common.JobID(name)jobId-java.lang.String(name)zooKeeperFullBasePath-java.lang.String(name)path,x,o,o
Flink,1118,org.apache.flink.runtime.jobmanager.ZooKeeperJobGraphStore.releaseJobGraph,281,debug,java.lang.String(name)Releasing locks of job graph {} from {}{}.-org.apache.flink.api.common.JobID(name)jobId-java.lang.String(name)zooKeeperFullBasePath-java.lang.String(name)path,x,o,o
